onset	duration	trial_type	electrodes_involved	sample_start	sample_stop
0.027344	39.5176	artefact	Gr16	56	80988
4.9907	154.6284	artefact	Gr18	10221	326900
7.9277	57.9531	artefact	Gr19	16236	134924
13.9023	5.498	artefact	Rst01	28472	39732
13.9023	5.498	artefact	Rst02	28472	39732
13.9023	5.498	artefact	Rst03	28472	39732
13.9023	5.498	artefact	Rst04	28472	39732
13.9023	5.498	artefact	Rst05	28472	39732
13.9023	5.498	artefact	Rst06	28472	39732
26.8691	13.2827	artefact	Gr17	55028	82231
27.3594	6.8164	artefact	Gr15	56032	69992
27.3594	6.8164	artefact	Rst05	56032	69992
27.3594	6.8164	artefact	Rst06	56032	69992
231.9243	0.70557	artefact	Rst01	474981	476426
231.9243	0.70557	artefact	Rst02	474981	476426
231.9243	0.70557	artefact	Rst03	474981	476426
231.9243	0.70557	artefact	Rst04	474981	476426
231.9243	0.70557	artefact	Rst05	474981	476426
231.9243	0.70557	artefact	Rst06	474981	476426
0.97656	323.4961	good data segment	all	2000	664520
